[2026-06-14 20:18:38] =======================================================
[2026-06-14 20:18:38] YFINANCE MISSING DATA POPULATION
[2026-06-14 20:18:38] Job ID:    917471b2
[2026-06-14 20:18:38] Start:     2026-06-14 20:18:38
[2026-06-14 20:18:38] Dry Run:   False
[2026-06-14 20:18:38] Test Mode: True (first 50 tickers only)
[2026-06-14 20:18:38] Force All: False (re-fetch all tickers)
[2026-06-14 20:18:38] =======================================================
[2026-06-14 20:18:38] PostgreSQL connection established.
[2026-06-14 20:18:38] Loading tickers with missing yfinance data...
[2026-06-14 20:18:38] [TEST MODE] Limited to first 50 tickers.
[2026-06-14 20:18:38] Found 50 tickers with missing yfinance data.
[2026-06-14 20:18:38] Checking for Questionable stocks due to missing market cap...
[2026-06-14 20:18:39]   Added 1180 Questionable tickers with missing market cap.
[2026-06-14 20:18:39] Total tickers to process: 1190
[2026-06-14 20:18:39] Starting yfinance fetch...
[2026-06-14 20:18:39]   Batch 1/24 (50 tickers)...
[2026-06-14 20:18:40]   [OK] AAAU — price: 41.53, mktcap: N/A
[2026-06-14 20:18:42]   [OK] AACBR — price: 0.1951, mktcap: N/A
[2026-06-14 20:18:44]   [OK] AACBU — price: 10.61, mktcap: 293,911,456
[2026-06-14 20:18:45]   [OK] AACIU — price: 10.3, mktcap: 349,603,936
[2026-06-14 20:18:47]   [OK] AACIW — price: 0.3, mktcap: N/A
[2026-06-14 20:18:49]   [OK] AACOU — price: 10.1, mktcap: 315,428,448
[2026-06-14 20:18:51]   [OK] AACOW — price: 0.39, mktcap: N/A
[2026-06-14 20:18:52]   [OK] AACPR — price: 0.19, mktcap: N/A
[2026-06-14 20:18:54]   [OK] AACPU — price: 10.22, mktcap: N/A
[2026-06-14 20:18:56]   [OK] AACPW — price: 0.11, mktcap: N/A
[2026-06-14 20:18:57]   [OK] AADX — price: 20.43, mktcap: 4,513,358,848
[2026-06-14 20:18:59]   [OK] ABLVW — price: 0.0169, mktcap: N/A
[2026-06-14 20:19:01]   [OK] ABPWW — price: 0.0115, mktcap: N/A
[2026-06-14 20:19:02]   [OK] ABXL — price: 25.5601, mktcap: N/A
[2026-06-14 20:19:04]   [OK] ACAAU — price: 10.05, mktcap: 358,213,184
[2026-06-14 20:19:06]   [OK] ACAAW — price: 0.555, mktcap: N/A
[2026-06-14 20:19:08]   [OK] ACCO — price: 4.04, mktcap: 1,232,521,472
[2026-06-14 20:19:09]   [OK] ACGCU — price: 10.07, mktcap: N/A
[2026-06-14 20:19:11]   [OK] ACGCW — price: 0.32, mktcap: N/A
[2026-06-14 20:19:13]   [OK] ACGLN — price: 16.36, mktcap: 5,630,938,112
[2026-06-14 20:19:14]   [OK] ACGLO — price: 19.33, mktcap: 6,664,436,224
[2026-06-14 20:19:16]   [OK] ACONW — price: 0.0292, mktcap: N/A
[2026-06-14 20:19:18]   [OK] ADACU — price: 10.24, mktcap: 293,405,824
[2026-06-14 20:19:20]   [OK] ADACW — price: 0.55, mktcap: N/A
[2026-06-14 20:19:21]   [OK] ADAMG — price: 25.31, mktcap: 13,760,721,920
[2026-06-14 20:19:23]   [OK] ADAMH — price: 25.78, mktcap: 13,802,956,800
[2026-06-14 20:19:25]   [OK] ADAMI — price: 25.38, mktcap: N/A
[2026-06-14 20:19:26]   [OK] ADAML — price: 24.355, mktcap: 13,674,904,576
[2026-06-14 20:19:28]   [OK] ADAMM — price: 25.3, mktcap: 13,759,822,848
[2026-06-14 20:19:30]   [OK] ADAMN — price: 23.56, mktcap: 13,603,465,216
[2026-06-14 20:19:32]   [OK] ADAMO — price: 25.305, mktcap: N/A
[2026-06-14 20:19:33]   [OK] ADAMZ — price: 18.88, mktcap: 13,182,914,560
[2026-06-14 20:19:35]   [OK] ADSEW — price: 0.45, mktcap: N/A
[2026-06-14 20:19:37]   [OK] ADZCF — price: 22.0, mktcap: N/A
[2026-06-14 20:19:39]   [OK] AEAEU — price: 4.5, mktcap: 32,119,746
[2026-06-14 20:19:40]   [OK] AEAEW — price: 0.07, mktcap: N/A
[2026-06-14 20:19:42]   [OK] AEAQU — price: 10.15, mktcap: 545,439,872
[2026-06-14 20:19:44]   [OK] AEAQW — price: 0.38, mktcap: 4,492,550
[2026-06-14 20:19:46]   [OK] AEFC — price: 18.91, mktcap: N/A
[2026-06-14 20:19:47]   [OK] AENTW — price: 0.35, mktcap: N/A
[2026-06-14 20:19:49]   [OK] AERTW — price: 0.0181, mktcap: N/A
[2026-06-14 20:19:51]   [NO PRICE] yfinance has no price data for AESP
[2026-06-14 20:19:52]   [OK] AESPU — price: 10.06, mktcap: N/A
[2026-06-14 20:19:54]   [OK] AFGB — price: 20.72, mktcap: N/A
[2026-06-14 20:19:56]   [OK] AFGC — price: 17.84, mktcap: 17,805,390
[2026-06-14 20:19:57]   [OK] AFGD — price: 19.5, mktcap: N/A
[2026-06-14 20:19:59]   [OK] AFGE — price: 15.99, mktcap: N/A
[2026-06-14 20:20:01]   [OK] AFJKR — price: 0.234, mktcap: N/A
[2026-06-14 20:20:02]   [OK] AFJKU — price: 58.5, mktcap: 156,696,448
[2026-06-14 20:20:04]   [OK] AFRIW — price: 0.6344, mktcap: N/A
[2026-06-14 20:20:04]   Batch 1 complete. Pausing 3.0s...
[2026-06-14 20:20:07]   Batch 2/24 (50 tickers)...
[2026-06-14 20:20:09]   [OK] AIIOW — price: 0.0456, mktcap: N/A
[2026-06-14 20:20:11]   [OK] AIMDW — price: 0.1496, mktcap: N/A
[2026-06-14 20:20:12]   [OK] AIQD — price: 66.6492, mktcap: N/A
[2026-06-14 20:20:14]   [OK] AIQU — price: 17.267, mktcap: N/A
[2026-06-14 20:20:16]   [OK] AIRJW — price: 1.07, mktcap: N/A
[2026-06-14 20:20:17]   [OK] ALCUF — price: 12.26, mktcap: 53,504,364
[2026-06-14 20:20:19]   [OK] ALCWF — price: 0.4, mktcap: N/A
[2026-06-14 20:20:21]   [OK] ALDFU — price: 10.82, mktcap: 322,809,440
[2026-06-14 20:20:23]   [OK] ALDFW — price: 0.39, mktcap: N/A
[2026-06-14 20:20:24]   [OK] ALFUU — price: 11.58, mktcap: 83,202,424
[2026-06-14 20:20:26]   [OK] ALFUW — price: 0.26, mktcap: N/A
[2026-06-14 20:20:28]   [OK] ALISR — price: 0.7387, mktcap: N/A
[2026-06-14 20:20:30]   [OK] ALISU — price: 10.8, mktcap: 90,757,112
[2026-06-14 20:20:31]   [OK] ALOVU — price: 10.06, mktcap: 375,237,760
[2026-06-14 20:20:33]   [OK] ALOVW — price: 0.45, mktcap: N/A
